ID_CONTA,Acumulado,Valor Médio,Atrasou,DS_ROLAGEM
1273090,6,389.91,7,FX1
1059454,4,296.04499999999996,6,FX1
1453503,5,784.5450000000001,6,FX1
1458365,6,957.6700000000001,6,FX1
1459148,5,628.74,6,FX1
689384,5,1649,6,FX1
775359,5,326.64,6,FX1
854783,5,1166.87,6,FX1
1029318,4,912.86,5,FX1
1054165,4,521.17,5,FX1
1054664,5,588.03,5,FX1
1057507,4,1460.8,5,FX1
1064706,4,1175.57,5,FX1
1073217,5,953.8,5,FX1
1081192,4,1149.05,5,FX1
1087959,3,2412.31,5,FX1
1091024,4,450.22,5,FX1
1097005,4,1339.92,5,FX1
1108047,4,1127.31,5,FX1
1142983,4,963.46,5,FX1
1149790,4,329.85,5,FX1
1154148,4,1736.88,5,FX1
1158187,4,1273.65,5,FX1
1160167,3,1143.69,5,FX1
1213339,4,346.98,5,FX1
1224729,4,1076.88,5,FX1
1227031,4,869.52,5,FX1
1234500,3,658.02,5,FX1
1241243,4,385.75,5,FX1
1246599,4,988.49,5,FX1
1247646,4,1383.75,5,FX1
1249326,4,495.31,5,FX1
1250485,5,1245.78,5,FX1
1255157,4,550.49,5,FX1
1256748,4,459.98,5,FX1
1268170,4,405.4,5,FX1
1270553,4,532.49,5,FX1
1272134,4,813.65,5,FX1
1276397,4,688.68,5,FX1
1286574,4,630.49,5,FX1
1292923,4,666.18,5,FX1
1294815,4,375.03,5,FX1
1305590,5,430.8,5,FX1
1310483,4,313.57,5,FX1
1311532,5,1314.18,5,FX1
1315009,4,1194.05,5,FX1
1324544,4,641.2,5,FX1
1333714,5,504.77,5,FX1
1335326,4,763.71,5,FX1
1340680,4,587.66,5,FX1
1341788,4,172.8,5,FX1
1350320,5,392.43,5,FX1
1352528,5,886.92,5,FX1
1369092,4,264.17,5,FX1
1370981,4,591.66,5,FX1
1384161,4,278.83,5,FX1
1385939,3,677.66,5,FX1
1389769,4,444.66,5,FX1
1396752,4,275.22,5,FX1
1407104,4,1086.65,5,FX1
1411982,4,232.2,5,FX1
1412536,4,625.31,5,FX1
1413166,4,314.54,5,FX1
1420229,4,448.12,5,FX1
1422086,4,245.08,5,FX1
1424703,4,615.12,5,FX1
1425017,4,126.54,5,FX1
1431527,5,473.54,5,FX1
1435622,5,471.95,5,FX1
1435916,4,744.42,5,FX1
1436542,4,1010.34,5,FX1
1436967,4,372.38,5,FX1
1437959,4,311.32,5,FX1
1442982,5,565.85,5,FX1
1446268,5,387.51,5,FX1
1447447,4,342.49,5,FX1
1470113,4,460.32,5,FX1
1471755,4,488.37,5,FX1
1472239,5,907.49,5,FX1
1472475,3,643.68,5,FX1
1475817,4,455.34,5,FX1
1476169,5,397.72,5,FX1
1476211,4,554.31,5,FX1
1479725,4,456.97,5,FX1
1484079,5,361.05,5,FX1
1485045,4,479.32,5,FX1
1486036,4,282.06,5,FX1
1488549,4,951.23,5,FX1
1488902,4,599.8,5,FX1
1489786,4,1073.83,5,FX1
1496618,4,88.75,5,FX1
1499302,4,715.29,5,FX1
1500470,4,219.29,5,FX1
1501189,4,227.4,5,FX1
1514441,3,885.98,5,FX1
1532147,4,384,5,FX1
1534195,4,846.4,5,FX1
1538122,4,1235.48,5,FX1
1538396,4,1161.57,5,FX1
1551059,4,955.29,5,FX1
1551184,5,402.29,5,FX1
1552114,4,2068.06,5,FX1
1555172,4,452.23,5,FX1
1564481,3,320.43,5,FX1
1564710,4,1112.26,5,FX1
1566294,4,166.58,5,FX1
1576165,4,544.31,5,FX1
1584678,5,785.52,5,FX1
1587540,4,581.72,5,FX1
1588185,3,1571.26,5,FX1
1589640,4,695.82,5,FX1
1592394,5,454.18,5,FX1
309582,4,218.32,5,FX1
327212,4,951.63,5,FX1
340682,4,3453.11,5,FX1
373472,4,341.8,5,FX1
402038,4,2233.2,5,FX1
419049,4,666.08,5,FX1
421896,4,1692.31,5,FX1
466876,5,652.38,5,FX1
488715,4,693.14,5,FX1
509542,4,772.35,5,FX1
523980,4,572.71,5,FX1
566463,4,1071.83,5,FX1
601585,4,2505.02,5,FX1
639974,4,1644.03,5,FX1
658477,4,635.77,5,FX1
669057,4,1061.74,5,FX1
682623,4,639.54,5,FX1
722357,4,472.42,5,FX1
729257,4,1986.89,5,FX1
730781,5,747.77,5,FX1
736737,3,800.51,5,FX1
753682,4,314.74,5,FX1
753907,4,617.54,5,FX1
755517,5,737.58,5,FX1
782552,4,2371.48,5,FX1
784877,3,133.06,5,FX1
810453,4,909.58,5,FX1
817273,4,4633.92,5,FX1
843528,5,538.12,5,FX1
847662,4,1320.11,5,FX1
891856,4,2758.35,5,FX1
906776,4,1177.68,5,FX1
928545,4,301.29,5,FX1
956584,5,501.85,5,FX1
967849,4,1695.12,5,FX1
971548,5,2356.94,5,FX1
986862,4,673.4,5,FX1
987947,4,557.45,5,FX1
988462,4,295.92,5,FX1
1000890,4,844.4950000000001,4,FX1
1003325,3,1041.705,4,FX1
1003676,3,876.3399999999999,4,FX1
1003925,4,4125.95,4,FX1
1006427,3,539.13,4,FX1
1006573,4,1360.05,4,FX1
1007486,4,1260.6999999999998,4,FX1
1007803,3,701.0150000000001,4,FX1
1008519,3,1327.9,4,FX1
1014457,3,235.385,4,FX1
1015912,3,574.095,4,FX1
1017195,4,1059.085,4,FX1
1017879,3,1369.185,4,FX1
1019789,4,1446.8000000000002,4,FX1
1019799,3,900.585,4,FX1
1021473,3,556.745,4,FX1
1021898,3,379.1,4,FX1
1022109,4,1453.7150000000001,4,FX1
1023275,3,669.065,4,FX1
1023691,4,1448.02,4,FX1
1024764,3,1614.775,4,FX1
1025248,3,2252.01,4,FX1
1027754,4,74.315,4,FX1
1028554,4,1095.5700000000002,4,FX1
1031314,4,227.055,4,FX1
1033343,4,1231.9,4,FX1
1037487,4,515.355,4,FX1
1038310,3,644.47,4,FX1
1041973,3,420.03499999999997,4,FX1
1042016,3,551.455,4,FX1
1044211,3,709.41,4,FX1
1044358,3,363.155,4,FX1
1045152,3,2078.645,4,FX1
1045525,4,1739.625,4,FX1
1045924,3,157.945,4,FX1
1046086,3,1772.2649999999999,4,FX1
1047002,4,424.61,4,FX1
1047194,3,992.85,4,FX1
1047995,3,712.315,4,FX1
104901,4,1795.275,4,FX1
1049268,4,1217.005,4,FX1
1050231,4,1007.205,4,FX1
1050528,3,1733.6999999999998,4,FX1
1051441,4,99.2,4,FX1
1053569,3,486.71500000000003,4,FX1
1054553,4,702.11,4,FX1
1056782,4,1157.985,4,FX1
1057311,4,1125.615,4,FX1
1062691,3,1008.11,4,FX1
1062695,3,210.005,4,FX1
1063869,3,310.35,4,FX1
1065509,4,1268.335,4,FX1
1068019,4,1438.56,4,FX1
1069190,4,779.665,4,FX1
1069691,4,464.12,4,FX1
1071969,4,338.9,4,FX1
1072909,4,1734.495,4,FX1
1074517,4,3868.29,4,FX1
1074987,3,1218.545,4,FX1
1075934,4,1586.685,4,FX1
1076198,4,450.17,4,FX1
1078256,4,508.665,4,FX1
1078661,3,1055.8000000000002,4,FX1
1079099,3,1335.4299999999998,4,FX1
1079532,4,1982.88,4,FX1
1083339,4,355.625,4,FX1
1084264,4,1145.29,4,FX1
1084942,3,1196.81,4,FX1
1086377,4,2347.455,4,FX1
1086869,4,692,4,FX1
1087610,4,2227.96,4,FX1
1089654,3,506.585,4,FX1
1090244,3,994.3699999999999,4,FX1
1090680,4,1094.6,4,FX1
1090921,3,2202.5699999999997,4,FX1
1091104,4,626.895,4,FX1
1091204,3,502.12,4,FX1
1093161,3,732.22,4,FX1
1093176,3,2718.67,4,FX1
1093368,3,350.24,4,FX1
1093616,4,1538.1,4,FX1
1093869,3,907.4449999999999,4,FX1
1094220,4,1402.415,4,FX1
1094541,3,4678.225,4,FX1
1094884,4,1124.12,4,FX1
1095867,4,2484.045,4,FX1
1096551,3,170.10500000000002,4,FX1
1097713,4,502.69,4,FX1
1098466,3,804.825,4,FX1
1098819,3,255.88,4,FX1
1099159,4,1600.635,4,FX1
1100129,4,748.6600000000001,4,FX1
1101163,3,600.5999999999999,4,FX1
1101508,3,978.835,4,FX1
1101536,3,757.23,4,FX1
1103919,4,767.57,4,FX1
1104414,3,543.505,4,FX1
1104970,4,893.665,4,FX1
1104975,3,875.99,4,FX1
1105861,4,556.615,4,FX1
1105992,3,447.2,4,FX1
1106825,3,1069.01,4,FX1
1106827,3,971.63,4,FX1
1107750,4,906.2450000000001,4,FX1
1110558,3,1010.155,4,FX1
1110567,3,2018.775,4,FX1
1111276,4,637.94,4,FX1
1111309,3,2266.815,4,FX1
1111944,4,131.145,4,FX1
1112110,4,919.075,4,FX1
1112675,4,598.03,4,FX1
1113619,3,460.75,4,FX1
1115630,3,510.09000000000003,4,FX1
1115876,4,2515.73,4,FX1
1117106,3,679.045,4,FX1
1117425,3,578.61,4,FX1
1118300,3,1103.82,4,FX1
1118338,3,2227.17,4,FX1
1119044,3,1256.785,4,FX1
1119327,3,434.415,4,FX1
1121290,3,106.755,4,FX1
1121517,4,443.08500000000004,4,FX1
1122583,4,665.5699999999999,4,FX1
1123515,3,1270.21,4,FX1
1125063,4,1108.56,4,FX1
1125823,3,1115.16,4,FX1
1125867,3,1133.135,4,FX1
1126522,4,540,4,FX1
1127477,3,492.65,4,FX1
1128009,4,672.415,4,FX1
1128203,3,617.02,4,FX1
1131203,4,673.2149999999999,4,FX1
1132206,4,386.015,4,FX1
1132379,4,902.115,4,FX1
1132781,3,481.72,4,FX1
1133264,4,627.88,4,FX1
1133304,4,838.74,4,FX1
1133705,4,926.8599999999999,4,FX1
1133999,4,508.07,4,FX1
1136023,3,761.425,4,FX1
1136657,3,677.34,4,FX1
1137721,4,618.885,4,FX1
1138335,4,2197.98,4,FX1
1138503,3,794.475,4,FX1
1139237,3,843.665,4,FX1
1139624,4,517.085,4,FX1
1140333,3,1666.17,4,FX1
1140422,3,1071.545,4,FX1
1140556,3,2606.275,4,FX1
1141185,3,1899.835,4,FX1
1141391,4,716.62,4,FX1
1141992,3,1131.76,4,FX1
1143023,4,713.5699999999999,4,FX1
1144199,3,804.185,4,FX1
1145345,4,1303.415,4,FX1
1145352,3,190.89999999999998,4,FX1
1145526,4,1023.385,4,FX1
1145779,4,854.885,4,FX1
1147463,3,451.435,4,FX1
1147979,3,1321.5,4,FX1
1149361,3,1307.425,4,FX1
1149582,4,1360.41,4,FX1
1150935,3,756.4449999999999,4,FX1
1151659,4,700.115,4,FX1
1154665,3,1672.65,4,FX1
1155417,4,408.275,4,FX1
1155570,3,718.05,4,FX1
1155617,4,1051.025,4,FX1
1155881,3,1525.66,4,FX1
1156113,3,195.315,4,FX1
1158088,4,637.3,4,FX1
1158599,3,2053.83,4,FX1
1159435,3,284.755,4,FX1
1159490,4,920.925,4,FX1
1161956,4,996.0699999999999,4,FX1
1162334,4,403.58000000000004,4,FX1
1162690,3,352.635,4,FX1
1162783,3,810.46,4,FX1
1166080,4,1799.38,4,FX1
1166880,4,920.755,4,FX1
1166968,4,777.34,4,FX1
1167026,3,571.885,4,FX1
1167928,3,636.925,4,FX1
1169012,3,489.46,4,FX1
1169753,3,946.7449999999999,4,FX1
1169891,3,647.405,4,FX1
1170378,3,949.155,4,FX1
1170603,4,614.47,4,FX1
1171756,4,1367.42,4,FX1
1172309,4,400.07500000000005,4,FX1
1174040,4,847.23,4,FX1
1174201,3,399.885,4,FX1
1176091,3,935.63,4,FX1
1177796,3,475.735,4,FX1
1179012,4,359.89,4,FX1
1179374,3,645.405,4,FX1
1179485,4,413.905,4,FX1
1181115,4,304.45,4,FX1
1185027,4,974.47,4,FX1
1185491,3,2739.165,4,FX1
1185720,4,743.325,4,FX1
1185929,4,2739.8050000000003,4,FX1
1186246,4,474.385,4,FX1
1186358,3,295.18,4,FX1
1186941,4,199.82999999999998,4,FX1
1187477,3,1213.3000000000002,4,FX1
1188289,3,174.11,4,FX1
1188577,4,980.845,4,FX1
1188593,3,943.29,4,FX1
1188612,3,543.4649999999999,4,FX1
1188889,3,833.4449999999999,4,FX1
1188910,4,350.03499999999997,4,FX1
1189073,4,1002.3050000000001,4,FX1
1190235,4,220.255,4,FX1
1191139,3,590.775,4,FX1
1191377,4,747.42,4,FX1
1191704,3,574.065,4,FX1
1192397,3,879.955,4,FX1
1193224,4,765.415,4,FX1
1193699,3,298.385,4,FX1
1195548,4,1272.8,4,FX1
1196158,3,244.23000000000002,4,FX1
1196184,3,890.2049999999999,4,FX1
1196692,4,1991.005,4,FX1
1196917,3,1041.47,4,FX1
1197551,3,2050.63,4,FX1
1199019,4,792.87,4,FX1
1199336,3,2059.27,4,FX1
1199560,4,1277.8049999999998,4,FX1
1199562,3,264,4,FX1
1199955,3,575.415,4,FX1
1200800,3,1295.47,4,FX1
1201600,3,1390.615,4,FX1
