Ano,Trimestre,Mês,Dia,DIVIDA_ATUAL,ID_CONTA,NU_DIAS_ATRASO,Questão 2 - Base 2.QTD_PARCELAMENTO_12M,Questão 2 - Base 2.QTD_PARCELAMENTO_3M,Questão 2 - Base 2.QTD_PARCELAMENTO_6M,Questão 2 - Base 3.LIMITE,Questão 2 - Base 5.QTD_ACIONAMENTO_1M,Questão 2 - Base 5.QTD_ACIONAMENTO_10D,Questão 2 - Base 5.QTD_ACIONAMENTO_3M,Questão 2 - Base 5.QTD_ACIONAMENTO_6M,Questão 2 - Base 5.QTD_CP_10D,Questão 2 - Base 5.QTD_CP_1M,Questão 2 - Base 5.QTD_CP_3M,Questão 2 - Base 5.QTD_CP_6M,Questão 2 - Base 5.QTD_CPC_10D,Questão 2 - Base 5.QTD_CPC_1M,Questão 2 - Base 5.QTD_CPC_3M,Questão 2 - Base 5.QTD_CPC_6M,RESPOSTA,RESPOSTA - Copiar,VALOR_CRELIQ
2018,Trim 4,novembro,22,58213.12,1000156,2568,0,0,0,7592,88,16,388,1344,0,0,4,4,0,0,4,8,0,0,33531.92
2018,Trim 4,novembro,22,913.73,1000268,311,0,0,0,270,0,0,0,30,0,0,0,0,0,0,0,0,0,0,536.65
2018,Trim 4,novembro,22,8788.88,1000533,2568,0,0,0,8136,80,64,124,776,0,0,0,20,0,0,0,0,0,0,5062.56
2018,Trim 4,novembro,22,14771.2,1000562,2160,0,0,0,2352,160,52,500,636,0,0,4,4,0,0,0,0,0,0,9394.48
2018,Trim 4,novembro,22,107688.15,1000609,5292,0,0,0,36396,333,27,1656,4014,0,9,18,27,0,18,18,18,0,0,79076.25
2018,Trim 4,novembro,22,591.02,1000670,211,0,0,0,615,,,,,,,,,,,,,0,0,421.53
2018,Trim 4,novembro,22,79816.32,1000717,7695,54,54,54,44226,387,72,2601,3519,0,0,54,72,0,0,0,9,0,0,49305.51
2018,Trim 4,novembro,22,33251.58,1000973,3618,36,0,36,17946,315,81,828,999,0,0,0,0,0,0,0,0,0,0,24181.02
2018,Trim 4,novembro,22,191432.7,1001048,9369,81,54,81,76680,288,117,594,1197,0,36,72,135,0,9,9,18,0,0,104838.84
2018,Trim 4,novembro,22,48047.92,1001073,2776,0,0,0,22240,92,28,404,804,0,0,0,0,0,0,0,0,0,0,26313.6
2018,Trim 4,novembro,22,4416.36,1001417,1204,0,0,0,4364,32,12,84,124,0,0,0,0,0,0,0,0,0,0,2644.68
